id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
4XwJGS4Q0P9P5ySEP0fZPN,0.000185,0.325,0.85,0.0,0.293,-4.383,1,0.0513,177.935,0.365
57fh50SS5Igc0u6LuHuZHN,0.00264,0.362,0.92,0.000834,0.0868,-5.217,0,0.155,138.032,0.169
3oTjfsZ3KptJsG5iNNqrWg,0.000154,0.503,0.947,0.00689,0.0994,-2.843,1,0.0372,154.993,0.634
3YPWVgir0F518e3d2X4E4w,4.17e-06,0.517,0.883,0.0,0.501,-4.781,1,0.0592,122.1,0.351
3y1quPyXSj3wh5yIT1inuy,0.00228,0.398,0.747,0.0,0.192,-5.089,0,0.0516,129.995,0.168
7C0yPWHEwTPQ4xqOz96Aro,0.344,0.283,0.354,0.000245,0.0758,-11.552,0,0.0288,93.02,0.0644
3MC57RhQk1X6S1dAAsgZ6u,8.47e-05,0.473,0.684,0.000774,0.204,-6.579,0,0.0357,102.01,0.127
5JyBOy5rhElkYixpDpbPn6,0.849,0.153,0.136,0.00017,0.108,-14.189,0,0.0322,90.168,0.0657
2m2FrjkQrHxEfFxHujRqVo,0.000224,0.361,0.873,0.0,0.134,-3.914,1,0.0787,155.895,0.282
6Fh1xkk5Wr97RshXF5uoyI,4.7e-05,0.5,0.909,0.0,0.0851,-3.988,1,0.0483,140.051,0.677
0j7vsZifULuuYwbjZolMAN,0.858,0.272,0.231,5.58e-05,0.115,-11.973,0,0.0317,107.966,0.0545
0UXIYE2aflGXmnSZ4nmcMM,0.000113,0.369,0.842,1.54e-06,0.378,-4.967,1,0.0536,141.977,0.206
6zVmYJACUF3yWLwpNwiuRN,0.00149,0.259,0.776,0.0,0.0912,-4.419,0,0.0408,84.87,0.18
7CdagQOcnsk2m2NlMyFDul,0.000179,0.449,0.852,7.64e-06,0.154,-4.612,1,0.0362,143.073,0.218
1xuuAhAwawrTuezA9nPVuL,0.000311,0.473,0.922,2.23e-05,0.309,-5.125,0,0.366,106.005,0.469
56u2Yu2UYKR89oTHOmV24o,0.5,0.454,0.682,0.0,0.166,-5.537,1,0.0328,153.82,0.356
29EJzcX46MvRdaDsD3hucz,0.00096,0.45,0.884,1.28e-06,0.12,-4.413,1,0.103,117.032,0.373
3s3eL7zMCNE9IgtX67SToC,0.00276,0.488,0.811,0.0,0.315,-5.196,1,0.041,133.961,0.436
3BXXX0fbAa2QFI8XOyLSdY,2.3e-05,0.457,0.902,0.00158,0.0936,-5.89,1,0.0602,92.49,0.27
7n9A8tJjUe2qzCQiKB0mqg,0.00179,0.392,0.91,0.103,0.148,-3.332,1,0.0559,126.0,0.238
59WrTLj2rIhfw7cQ3hp7Ec,2.5e-05,0.311,0.833,0.0,0.138,-3.791,0,0.077,163.831,0.348
2GcRMRCgdj2qSHoyIHjGNN,0.000199,0.346,0.915,7.79e-05,0.117,-5.098,0,0.0747,155.932,0.0927
0LDdkg2kTBr2b0IPzZHkw3,4.34e-05,0.421,0.851,0.00149,0.324,-5.789,1,0.153,142.109,0.334
0TChouh0BwqHQoKy1NjlyI,7.7e-05,0.148,0.882,0.0004,0.0517,-6.091,1,0.153,174.055,0.405
6jqr2nUbhnhql86q9rGAb1,7.08e-05,0.511,0.956,0.101,0.11,-5.238,0,0.0622,146.042,0.479
